不可思议
忠孝
忠实
忠诚
忽略
忽视
怪
怪异
怪诞
怕
怕生
怕羞
怡人
性情
性骚扰
承担
承诺
拉紧
抨击
拙劣
抵制
抱歉
放任
放松
放肆
放弃
放纵
易怒
昂贵
明亮
明智
昏沉
昏乱
昏头
服从
果断
枉然
松懈
欣欣
欣喜
欣然
欣慰
欣赏
歧视
泣
沾沾自喜
泄气
沮丧
治疗
玩耍
玩笑
玩乐
知足
知识
空洞
空虚
花招
非人
非礼
非难
怜惜
极好
极端
极乐
肮脏
信心
信奉
信义
信实
信誉
侵占
侵犯
侵扰
侵害
侵略
侵袭
保卫
保护
保证
俊美
俗
俗气
冒险
冠军
勇气
勇敢
勉强
叛乱
咬牙切齿
哀求
哀怨
哀凄
哀痛
哀愁
哀伤
哀号
哀恸
品行
品德
哄骗
哈
哈哈
咯咯笑
威严
威胁
幽默
怒
怒不
怒火
怒气
怒斥
怒目
怒色
怒吼
怒视
怒骂
思
思念
思乡
恍惚
恰当
恨
恬
挖苦
拼命
拮据
拷打
拷问
拯救
挑剔
挑战
挑衅
挂念
挂虑
柔
柔肠寸断
柔软
柔顺
歪曲
毒
流行
流泪
活力
活泼
活跃
炫耀
狠心
珍奇
珍惜
珍藏
珍爱
珍视
珍贵
看不起
盼望
美人
美好
美妙
美味
美德
美丽
美梦
美满
背叛
胡扯
胡涂
致命
苛求
苦
苦恼
若无其事
英俊
英勇
英雄
虐待
迫害
郁
重大
重担
陌生
降级
面临
首要
首创
复仇
洁净
胜利
胜过
值得
值钱
倔强
凌乱
唐突
哭泣
哭喊
哭诉
哭闹
哽咽
奚落
害怕
害羞
容光焕发
容忍
差
差劲
弱
弱点
徒劳无功
恐怖
恐慌
恐吓
恐惧
恭维
恩典
恩惠
悔之
悔改
悔恨
悔悟
悔意
悔过
振奋
捐赠
挫折
挫败
效率
栩栩如生
浪漫
消沉
消极
消灭
疲于奔命
疲乏
疲倦
疲弱
疲累
疲劳
疲惫
疼痛
疼爱
益处
真心
真相
真理
真实
真诚
破坏
破灭
神圣
神经病
神经质
祝福
祝贺
笑
笑死
笑容
笑话
缺少
缺乏
缺失
缺陷
缺德
缺憾
缺点
脆弱
能干
臭
臭气
臭味
茫然
荒唐
荒谬
草率
虔诚
衰
衰老
衰弱
衰退
衰微
衰败
衷心
逆向
迷人
迷失
迷惘
迷惑
迷路
迷乱
迷恋
逃离
高雅
高傲
高兴
高贵
适宜
适当
适时
假装
偷
偷取
偷窃
偏心
偏好
偏执
偏爱
偏见
啜泣
娼妓
寂寞
寂寥
崇拜
崇高
得体
得意
得意洋洋
得罪
徘徊
患病
悠闲
惋惜
情绪
控制
推崇
排斥
救
敏捷
敏感
敏锐
欲绝
淡漠
清白
清楚
淹没
混乱
混账
淘气
深思
深情
深爱
爽
爽心
爽快
爽朗
爽约
猜疑
猛烈
理智
理想
甜言
甜美
甜密
甜甜
甜蜜
甜头
疏忽
疏漏
盛怒
眼花撩乱
眼花缭乱
眼泪
窒息
窒碍
笨
笨手笨脚
笨拙
粗心
粗俗
粗野
粗暴
粗鲁
累
羞怯
羞辱
羞愧
羞愤
羞耻
逗趣
逝世
造反
野蛮
陶醉
麻木
麻烦
惊
惊人
惊心
惊异
惊呆
惊扰
惊奇
惊怕
惊恐
惊悚
惊喜
惊愕
惊慌
惊疑
惊吓
惊讶
惊险
惊骇
最好
最佳
博学
博爱
喝采
喜上眉稍
喜气
喜出望外
喜形于色
喜极而泣
喜怒哀乐
喜怒无常
喜宴
喜新厌旧
喜从天降
喜剧
喜庆
喜悦
寒酸
富有
富裕
尊重
尊敬
尊严
尊荣
尊贵
就绪
悲哀
悲苦
悲凄
悲情
悲喜
悲痛
悲愁
悲伤
悲剧
悲恸
悲悯
悲惨
悲愤
悲欢
悲观
惶
愉
提防
散漫
景仰
智慧
期盼
棘手
棒
欺
渴求
渴望
焦急
焦虑
痛
痛不欲生
痛苦
痛哭流涕
善心
善良
善意
脾气
舒服
舒适
跛
跛脚
隆重
雅致
确定
确信
羡慕
傲慢
傻
傻子
傻笑
嫉
嫌
微笑
微醺
愚笨
慈祥
慈悲
慈善
感恩
感情
感激
感伤
想念
惹恼
愁
慌
愧
搏斗
敬畏
敬重
敬意
暖和
滑稽
痴狂
痴迷
禁止
禁忌
罪
罪人
罪大恶极
罪犯
罪名
罪行
罪孽
罪恶
罪过
落伍
落空
解决
解脱
躲避
遇难
鼓舞
触目惊心
触怒
触景伤情
嫩
愿
慷慨
慢
摧毁
漂亮
漫不经心
疑心
疑神
疑惑
疑惧
疑点
疑虑
疑难
福气
精力
精心
精美
精疲力竭
精疲力尽
精彩
腐朽
腐臭
腐烂
腐败
豪爽
豪华
鄙
酸
酸甜苦辣
酷刑
酷爱
鼻酸
踊跃
僵化
僵住
僵冷
僵局
僵持
僵硬
嬉笑
德行
憎
撒谎
暴力
暴怒
暴躁
毅然
蔑视
遭受
震怒
震惊
震颤
霉运
魅力
魄力
懊悔
懊恼
擅长
操心
操守
操劳
整洁
整齐
激怒
激情
激动
激励
瘸
罹难
融洽
褫夺
蹂躏
默哀
懦
瞧不起
糟
糟糕
糟蹋
繁琐
蹧蹋
爆发
耀眼
蠢
业障
丢人
丢人现眼
丢下
丢弃
丢脸
严重
严峻
严格
严酷
严厉
丧心
丧气
丧生
丧志
丧偶
丧尽
丧礼
丧胆
为难
义
义愤
乐
乐子
乐不
乐天
乐在其中
乐此
乐而
乐极生悲
乐得
乐善
乐趣
乐园
乐观
书呆子
乱
亏损
亲
亲吻
亲和
亲密
亵渎
从容
众怒
伟大
传情
伤
伤人
伤亡
伤天害理
伤心
伤害
伤神
伤痕
伤悲
伤痛
伤感
伤势
伤残
伪造
债务
兴旺
兴致
兴趣
兴奋
养育
内疚
冲突
冲击
决心
决定
净土
凯旋
击
击败
创伤
剥夺
剧烈
动人
动听
势利
华丽
压力
压抑
压制
压迫
厌世
厌食
厌倦
厌恶
厌烦
发抖
发牢骚
发狂
发怒
发臭
发愁
变味
变动
变质
叹
叹气
叹息
叹为观止
吓
呜咽
唠叨
坚定
坚决
坚强
堕落
壮丽
壮观
壮阔
处罚
头昏
奖
奖助
奖杯
奖金
奖品
奖章
奖牌
奖励
奖学金
奖状
奖赏
妩媚
娇弱
娱乐
宝贵
宠爱
宽大
宽容
对抗
对质
寻欢作乐
尴尬
帅
帅气
庆功
庆生
庆幸
庆贺
开心
开明
开朗
强
强力
强奸
强迫
强烈
强健
强硬
强暴犯
强壮
忧心
忧郁
忧患
忧愁
忧伤
忧劳
忧烦
忧虑
恶
恶人
恶化
恶心
恶斗
恶劣
恶言
恶性
恶毒
恶狠狠
恶耗
恶臭
恶意
恶梦
恶运
恼
惧怕
惨
惩罚
愤
懒惰
懒散
战斗
战火
战胜
战乱
战争
执拗
扫兴
抚育
抛弃
护
报仇
报复
担保
担忧
拥抱
拥护
挚情
挚爱
挚诚
挣扎
损人
损坏
损害
损伤
搅乱
敌意
敌对
敌视
无用
无助
无味
无奈
无知
无畏
无害
无效
无益
无能
无常
无望
无聊
无辜
无意义
无精打采
无关紧要
无忧无虑
无惧
时髦
杀
杀死
杂乱
欢天喜地
欢心
欢呼
欢欣
欢笑
欢喜
欢愉
欢乐
欢声
欢欢喜喜
残忍
残酷
残暴
毁坏
毁掉
毁伤
毁弃
毁损
毁灭
毁谤
毁败
泪流满面
泪珠
温和
温柔
温情
温暖
温馨
满足
满意
滥用
滥情
灵巧
灵活
灵敏
灵感
灾
灿烂
烂
烦
烦人
烦心
烦忙
烦扰
烦愁
烦躁
烦乱
烦劳
烦恼
烦杂
烦琐
烦闷
热切
热烈
热衷
热情
热望
热泪盈眶
热闹
爱心
爱情
爱慕
爱护
牵挂
牺牲
犹疑
犹豫
独自
独创
狭小
狭隘
琐事
琐碎
疯
盗
着迷
祸
积极
稳健
穷
穷困
竞争
简洁
紧张
紧绷
约束
纷争
细心
结巴
绝妙
绝望
统治
绷紧
缓和
缠身
缠绵
缠讼
聪明
胁迫
胆小
胆怯
胆量
胆战心惊
脏
腻
艰巨
艰困
艰辛
艰苦
艰深
艰涩
艰险
艰难
荣幸
荣耀
荣誉
获胜
获奖
虚心
虚弱
虚荣
虚荣心
认可
讨喜
许诺
讽刺
设防
诈骗
诉苦
诙谐
诚
诚心
诚实
诡计
诧异
误
误解
误会
说谎
诺言
调皮
调戏
谋杀
谢天谢地
谢意
谨慎
负心
负债
负担
败坏
质疑
贪
贪心
贪生
贪求
贪念
贪婪
贪欲
贪图
贫困
贫苦
贫病
贫穷
贫贱
贱民
贱骨头
费力
贼
赞
赞不绝口
赞同
赞佩
赞赏
赢取
赢钱
踌躇
软弱
轻快
轻忽
轻松
轻蔑
轻视
辉煌
输家
输掉
辞职
过失
过错
远离
违心
违犯
违抗
违法
违背
违约
违纪
违规
迟到
迟疑
迟钝
遗憾
遗弃
钝
钦佩
铤而走险
铭印
错
错乱
错误
镇定
镇压
镇静
长处
闲散
闷
闷闷不乐
阳光
阴沉
阴森
阴暗
陈腐
难吃
难堪
难熬
难过
难闻
难题
顺利
顽固
顽强
顾虑
颤抖
风险
骄傲
骗
骚扰
骚动
鲜明
鲜美
龌龊
土气
花头
智能
好样
分布
首选
高端
