city	lng	lat
铜陵	117.8123	30.9448
铜仁	109.1897	27.72
吐鲁番	89.1895	42.9513
吐鲁番地区	89.1895	42.9513
屯昌县	110.1035	19.3518
万宁	110.3897	18.7953
威海	122.1217	37.5134
潍坊	119.1617	36.7069
渭南	109.4774	34.4965
温州	120.6994	27.9948
文昌	110.7977	19.5432
文山壮族苗族自治州	104.215	23.3985
乌海	106.7955	39.6538
乌兰察布	113.1338	40.9938
乌鲁木齐	87.6169	43.8266
无锡	120.3124	31.491
芜湖	118.4331	31.3525
吴忠	106.1988	37.9976
梧州	111.2791	23.4771
五家渠	87.5402	44.168
五指山	87.4641	43.8087
武汉	114.3052	30.5927
武威	102.638	37.9281
西安	108.9398	34.3412
西宁	101.7779	36.6172
西双版纳傣族自治州	100.7974	22.0075
锡林郭勒盟	116.0477	43.9332
仙桃	113.4545	30.3625
咸宁	114.3224	29.8412
咸阳	108.7093	34.3293
湘潭	112.9441	27.8298
湘西土家族苗族自治州	109.7389	28.3117
襄阳	112.1225	32.0091
孝感	113.9165	30.9248
忻州	112.7342	38.4167
新北市	121.4628	25.017
新乡	113.9267	35.3032
新余	114.9171	27.8178
新竹市	120.9553	24.8064
信阳	114.0928	32.1471
邢台	114.5044	37.0706
兴安盟	122.0381	46.0821
兴义	104.8955	25.0919
宿迁	118.2755	33.9619
宿州	116.9639	33.6161
徐州	117.2857	34.2044
许昌	113.8524	34.0357
宣城	112.2578	31.7198
雅安	103.0398	30.0154
烟台	121.448	37.4635
延安	109.4898	36.5853
延边朝鲜族自治州	129.4795	42.8901
延吉	121.5337	31.2846
盐城	120.1616	33.3496
扬州	119.4127	32.3936
阳江	111.9825	21.8583
阳泉	113.5805	37.8567
伊春	128.8406	47.7274
伊犁哈萨克自治州	81.3241	43.9169
伊宁	81.2773	43.9094
宜宾	104.6417	28.7513
宜昌	111.2864	30.6918
宜春	114.4161	27.8144
益阳	112.3551	28.5539
银川	106.2325	38.4865
鹰潭	117.0692	28.2601
营口	122.2349	40.6668
永州	111.6122	26.4204
榆林	109.7346	38.2852
榆中	104.2377	35.994
玉林	110.181	22.6546
玉树藏族自治州	97.0065	33.0052
玉溪	102.5471	24.3518
岳阳	113.1292	29.3572
云浮	112.0445	22.9152
云林县	120.53	23.72
运城	111.007	35.0263
枣庄	117.322	34.8106
湛江	110.3589	21.2712
张家界	110.4784	29.1167
张家口	114.8876	40.8244
张掖	100.4498	38.9259
漳州	117.6472	24.5134
长春	125.3235	43.816
长沙	112.9388	28.2279
长治	113.1165	36.1958
昭通	103.7168	27.3381
肇庆	112.4653	23.0469
镇江	119.425	32.189
郑州	113.6249	34.7472
中山	113.3926	22.5159
中卫	105.1968	37.5003
重庆	106.5507	29.5647
舟山	122.2078	29.9853
周口	114.6969	33.6258
珠海	113.5767	22.2707
株洲	113.134	27.8276
驻马店	114.0229	33.0115
资阳	104.628	30.1287
淄博	118.0548	36.8131
自贡	104.7785	29.3391
遵义	106.9272	27.7254
台湾	120.8839	23.2660
香港	114.1629	22.2839
澳门	113.5440	22.2018
屏东县	120.4920	22.6678
